Voltage[V],Energy[Wh]
5.6,0.02
5.61,0.0
5.62,0.0
5.63,0.01
5.64,0.01
5.65,0.01
5.66,0.01
5.67,0.01
5.68,0.02
5.69,0.02
5.7,0.02
5.71,0.02
5.72,0.02
5.73,0.02
5.74,0.02
5.75,0.02
5.76,0.02
5.77,0.02
5.78,0.02
5.79,0.02
5.8,0.02
5.81,0.02
5.82,0.02
5.83,0.02
5.84,0.02
5.85,0.02
5.86,0.02
5.87,0.03
5.88,0.03
5.89,0.03
5.9,0.03
5.91,0.03
5.92,0.04
5.93,0.04
5.94,0.04
5.95,0.04
5.96,0.05
5.97,0.05
5.98,0.06
5.99,0.06
6.0,0.06
6.01,0.07
6.02,0.08
6.03,0.08
6.04,0.09
6.05,0.1
6.06,0.1
6.07,0.11
6.08,0.13
6.09,0.14
6.1,0.14
6.11,0.15
6.12,0.16
6.13,0.17
6.14,0.18
6.15,0.19
6.16,0.2
6.17,0.22
6.18,0.23
6.19,0.24
6.2,0.25
6.21,0.26
6.22,0.28
6.23,0.29
6.24,0.3
6.25,0.32
6.26,0.33
6.27,0.34
6.28,0.37
6.29,0.38
6.3,0.39
6.31,0.41
6.32,0.42
6.33,0.43
6.34,0.44
6.35,0.45
6.36,0.46
6.37,0.48
6.38,0.49
6.39,0.5
6.4,0.51
6.41,0.52
6.42,0.53
6.43,0.55
6.44,0.56
6.45,0.57
6.46,0.6
6.47,0.61
6.48,0.63
6.49,0.64
6.5,0.66
6.51,0.67
6.52,0.69
6.53,0.71
6.54,0.73
6.55,0.75
6.56,0.77
6.57,0.8
6.58,0.83
6.59,0.87
6.6,0.9
6.61,0.93
6.62,0.96
6.63,1.0
6.64,1.06
6.65,1.1
6.66,1.16
6.67,1.22
6.68,1.29
6.69,1.36
6.7,1.43
6.71,1.51
6.72,1.58
6.73,1.69
6.74,1.8
6.75,1.92
6.76,2.09
6.77,2.37
6.78,2.64
6.79,2.92
6.8,3.17
6.81,3.42
6.82,3.66
6.83,3.89
6.84,4.1
6.85,4.29
6.86,4.46
6.87,4.65
6.88,4.79
6.89,4.91
6.9,5.02
6.91,5.13
6.92,5.26
6.93,5.39
6.94,5.54
6.95,5.7
6.96,5.9
6.97,6.1
6.98,6.3
6.99,6.52
7.0,6.74
7.01,7.04
7.02,7.29
7.03,7.57
7.04,7.87
7.05,8.26
7.06,8.83
7.07,9.42
7.08,9.99
7.09,10.56
7.1,11.12
7.11,11.67
7.12,12.21
7.13,12.75
7.14,13.28
7.15,13.93
7.16,14.45
7.17,14.96
7.18,15.46
7.19,15.96
7.2,16.46
7.21,16.96
7.22,17.45
7.23,17.94
7.24,18.43
7.25,18.91
7.26,19.39
7.27,19.86
7.28,20.27
7.29,20.7
7.3,20.99
7.31,21.24
7.32,21.47
7.33,21.67
7.34,21.86
7.35,22.05
7.36,22.24
7.37,22.41
7.38,22.6
7.39,22.79
7.4,22.97
7.41,23.15
7.42,23.34
7.43,23.58
7.44,23.77
7.45,23.96
7.46,24.15
7.47,24.34
7.48,24.52
7.49,24.71
7.5,24.89
7.51,25.08
7.52,25.27
7.53,25.45
7.54,25.64
7.55,25.83
7.56,26.02
7.57,26.25
7.58,26.43
7.59,26.62
7.6,26.79
7.61,26.98
7.62,27.16
7.63,27.34
7.64,27.52
7.65,27.7
7.66,27.88
7.67,28.06
7.68,28.23
7.69,28.4
7.7,28.58
7.71,28.79
7.72,28.97
7.73,29.13
7.74,29.3
7.75,29.47
7.76,29.64
7.77,29.8
7.78,29.97
7.79,30.13
7.8,30.29
7.81,30.46
7.82,30.63
7.83,30.81
7.84,30.97
7.85,31.18
7.86,31.36
7.87,31.53
7.88,31.71
7.89,31.87
7.9,32.04
7.91,32.22
7.92,32.39
7.93,32.55
7.94,32.72
7.95,32.89
7.96,33.05
7.97,33.22
7.98,33.39
7.99,33.6
8.0,33.76
8.01,33.92
8.02,34.08
8.03,34.24
8.04,34.39
8.05,34.55
8.06,34.7
8.07,34.84
8.08,35.0
8.09,35.15
8.1,35.29
8.11,35.43
8.12,35.57
8.13,35.75
8.14,35.89
8.15,36.02
8.16,36.15
8.17,36.28
8.18,36.41
8.19,36.55
8.2,36.67
8.21,36.8
8.22,36.92
8.23,37.04
8.24,37.16
8.25,37.28
8.26,37.39
8.27,37.53
8.28,37.64
8.29,37.76
8.3,37.86
8.31,37.98
8.32,38.08
8.33,38.17
8.34,38.18
8.35,38.19
8.36,38.21
8.37,38.22
8.38,38.23
8.39,38.25
8.4,38.26
